symbols	start	end	motif	score	strand
1700019D03Rik	53020444.0	53020452.0	ARID3A	8.89349	-
1700019D03Rik	53019792.0	53019802.0	ARID3B	14.4556	+
1700019D03Rik	53021012.0	53021022.0	ARID3B	13.0667	+
1700019D03Rik	53019812.0	53019822.0	ARID3B	13.1556	-
1700019D03Rik	53021011.0	53021021.0	ARID3B	13.0667	-
1700019D03Rik	53021280.0	53021290.0	ARID5A	13.711099999999998	-
1700019D03Rik	53019977.0	53019991.0	BBX	12.6118	+
1700019D03Rik	53020646.0	53020655.0	CEBPB	10.3186	+
1700019D03Rik	53020646.0	53020656.0	CEBPB	15.3333	-
1700019D03Rik	53020646.0	53020658.0	CEBPG	13.0333	+
1700019D03Rik	53020647.0	53020656.0	CEBPG	8.98913	-
1700019D03Rik	53020360.0	53020370.0	EGR2	14.8	+
1700019D03Rik	53021193.0	53021207.0	ELF2	15.6556	+
1700019D03Rik	53021192.0	53021206.0	ETS1	13.1333	-
1700019D03Rik	53020058.0	53020074.0	FOXJ3	13.615399999999998	+
1700019D03Rik	53021102.0	53021118.0	FOXK1	12.7	-
1700019D03Rik	53021397.0	53021412.0	FOXO1	13.6154	+
1700019D03Rik	53021400.0	53021408.0	FOXO4	14.7556	+
1700019D03Rik	53020794.0	53020805.0	FUBP1	13.3297	-
1700019D03Rik	53020030.0	53020039.0	GFI1	13.2111	+
1700019D03Rik	53020874.0	53020883.0	GFI1	13.2556	-
1700019D03Rik	53019981.0	53019989.0	HBP1	14.1333	-
1700019D03Rik	53020958.0	53020971.0	HSF1	15.4854	+
1700019D03Rik	53020958.0	53020971.0	HSF2	12.9543	+
1700019D03Rik	53019989.0	53019996.0	IKZF1	12.0	+
1700019D03Rik	53020952.0	53020965.0	IRF3	13.1984	+
1700019D03Rik	53020483.0	53020507.0	IRF4	13.0	+
1700019D03Rik	53020578.0	53020635.0	IRF4	14.62443	+
1700019D03Rik	53020608.0	53020627.0	IRF5	1.92222	+
1700019D03Rik	53020633.0	53020652.0	IRF5	1.5	+
1700019D03Rik	53020176.0	53020187.0	IRF9	12.6444	-
1700019D03Rik	53021890.0	53021902.0	MEF2C	9.36667	-
1700019D03Rik	53021975.0	53021984.0	MYC	13.655599999999996	-
1700019D03Rik	53021273.0	53021284.0	NFAT5	16.011	+
1700019D03Rik	53021273.0	53021284.0	NFATC1	14.0631	+
1700019D03Rik	53020714.0	53020728.0	NR2F6	5.57778	+
1700019D03Rik	53019789.0	53019800.0	PHF21A	12.7065	+
1700019D03Rik	53019814.0	53019825.0	PHF21A	13.9022	-
1700019D03Rik	53020118.0	53020129.0	PHF21A	13.2391	-
1700019D03Rik	53020440.0	53020455.0	POU2F1	14.4595	-
1700019D03Rik	53020953.0	53020966.0	PRDM1	12.32	+
1700019D03Rik	53020714.0	53020735.0	RXRA	17.6	+
1700019D03Rik	53019997.0	53020004.0	SMAD4	13.4444	+
1700019D03Rik	53021710.0	53021717.0	SMAD4	13.4444	+
1700019D03Rik	53020481.0	53020509.0	STAT1	14.748000000000001	-
1700019D03Rik	53020580.0	53020636.0	STAT1	14.764185714285714	-
1700019D03Rik	53020297.0	53020309.0	STAT2	13.7014	+
1700019D03Rik	53020952.0	53020966.0	STAT2	14.328	-
1700019D03Rik	53021033.0	53021047.0	STAT6	16.234119999999997	+
1700019D03Rik	53019789.0	53019804.0	TBP	12.625	+
1700019D03Rik	53020084.0	53020099.0	TBP	13.6964	+
1700019D03Rik	53019793.0	53019808.0	TBP	12.8839	-
1700019D03Rik	53019814.0	53019829.0	TBP	12.9375	-
1700019D03Rik	53021009.0	53021024.0	TBP	13.0714	-
1700019D03Rik	53020384.0	53020398.0	ZFP281	15.816	-
1700019D03Rik	53019687.0	53019700.0	ZFX	15.566699999999999	-
1700025G04Rik	152090155.0	152090169.0	BBX	12.7294	+
1700025G04Rik	152089674.0	152089688.0	BBX	12.8941	-
1700025G04Rik	152089637.0	152089649.0	BCL6	13.4685	+
1700025G04Rik	152090958.0	152090971.0	BCL6	13.492775	+
1700025G04Rik	152091023.0	152091032.0	E2F3	13.511100000000003	+
1700025G04Rik	152091771.0	152091782.0	E2F4	12.848	+
1700025G04Rik	152091023.0	152091032.0	E2F5	14.4333	+
1700025G04Rik	152091765.0	152091783.0	E2F6	12.973	+
1700025G04Rik	152091033.0	152091047.0	EPAS1	14.1111	-
1700025G04Rik	152091101.0	152091139.0	EPAS1	14.378691666666663	-
1700025G04Rik	152091207.0	152091235.0	EPAS1	16.07998	-
1700025G04Rik	152091623.0	152091635.0	EPAS1	16.3222	-
1700025G04Rik	152090023.0	152090032.0	FOXJ2	15.1444	-
1700025G04Rik	152090041.0	152090056.0	FOXJ3	13.061150000000001	-
1700025G04Rik	152089775.0	152089787.0	FOXM1	12.6264	-
1700025G04Rik	152090022.0	152090034.0	FOXM1	16.7802	-
1700025G04Rik	152091028.0	152091040.0	FOXM1	12.978	-
1700025G04Rik	152090026.0	152090046.0	FOXO1	16.4176	-
1700025G04Rik	152090032.0	152090053.0	FUBP1	12.8132	-
1700025G04Rik	152090492.0	152090500.0	HIC1	13.4111	+
1700025G04Rik	152091622.0	152091633.0	HIF1A	13.4444	-
1700025G04Rik	152091077.0	152091091.0	IKZF3	13.0	-
1700025G04Rik	152089713.0	152089727.0	IRF8	12.8571	-
1700025G04Rik	152090606.0	152090620.0	KLF3	13.0556	+
1700025G04Rik	152091335.0	152091346.0	KLF4	14.61587142857143	-
1700025G04Rik	152091771.0	152091778.0	KLF6	12.5778	+
1700025G04Rik	152091415.0	152091430.0	KLF7	14.12	+
1700025G04Rik	152089849.0	152089862.0	LEF1	16.5833	+
1700025G04Rik	152089926.0	152089942.0	MAZ	14.6484	+
1700025G04Rik	152090601.0	152090617.0	MAZ	14.4176	+
1700025G04Rik	152091378.0	152091399.0	MAZ	14.02745	+
1700025G04Rik	152091673.0	152091694.0	MAZ	15.457866666666668	+
1700025G04Rik	152091731.0	152091747.0	MAZ	15.3407	+
1700025G04Rik	152091765.0	152091783.0	MAZ	14.234433333333333	+
1700025G04Rik	152091858.0	152091874.0	MAZ	18.1429	+
1700025G04Rik	152091455.0	152091471.0	MAZ	19.7363	-
1700025G04Rik	152091487.0	152091507.0	MAZ	13.3022	-
1700025G04Rik	152092101.0	152092117.0	MAZ	15.011	-
1700025G04Rik	152091833.0	152091843.0	MBD2	13.8333	-
1700025G04Rik	152090422.0	152090437.0	MTF1	14.1351	-
1700025G04Rik	152090291.0	152090306.0	NFATC2	13.392	-
1700025G04Rik	152091686.0	152091696.0	NFKB1	14.6813	+
1700025G04Rik	152089939.0	152089949.0	NFKB2	14.6957	-
1700025G04Rik	152090940.0	152090954.0	PBX2	13.4783	-
1700025G04Rik	152090948.0	152090963.0	PKNOX1	14.5385	-
1700025G04Rik	152089927.0	152089943.0	PLAG1	15.2556	+
1700025G04Rik	152091757.0	152091773.0	PLAG1	16.2111	+
1700025G04Rik	152091996.0	152092012.0	PLAG1	15.8556	+
1700025G04Rik	152091822.0	152091834.0	PLAGL1	12.9931	+
1700025G04Rik	152089712.0	152089725.0	PRDM1	18.36	-
1700025G04Rik	152090788.0	152090805.0	PURA	13.7554	+
1700025G04Rik	152091716.0	152091732.0	PURA	14.1087	+
1700025G04Rik	152091757.0	152091780.0	PURA	13.7772	+
1700025G04Rik	152091284.0	152091300.0	PURA	12.9022	-
1700025G04Rik	152091524.0	152091545.0	RFX1	13.3407	+
1700025G04Rik	152090032.0	152090053.0	RREB1	15.4176	-
